transcript	#geneID
RNA1124	gene541
RNA1128	gene545
RNA1129	gene546
RNA1130	gene547
RNA1131	gene548
RNA1132	gene549
RNA1133	gene550
RNA1134	gene551
RNA1135	gene552
RNA1136	gene553
RNA1137	gene554
RNA1138	gene555
RNA1141	gene556
RNA1142	gene557
RNA1143	gene558
RNA1144	gene559
RNA1145	gene559
RNA1146	gene560
RNA1147	gene560
RNA1148	gene560
RNA1149	gene560
RNA1150	gene560
RNA1151	gene560
RNA1152	gene561
RNA1153	gene561
RNA1155	gene562
RNA1156	gene563
RNA1157	gene564
RNA1158	gene565
RNA1159	gene565
RNA1160	gene566
RNA1161	gene567
RNA1163	gene568
RNA1164	gene568
RNA1165	gene568
RNA1166	gene569
RNA1167	gene570
RNA1168	gene571
RNA1169	gene572
RNA1170	gene573
RNA1171	gene573
RNA1174	gene575
RNA1172	gene574
RNA1175	gene576
RNA1176	gene577
RNA1177	gene578
RNA1178	gene578
RNA1179	gene578
RNA1180	gene579
RNA1182	gene581
RNA1183	gene581
RNA1184	gene581
RNA1185	gene581
RNA1186	gene581
RNA1188	gene583
RNA1189	gene584
RNA1194	gene589
RNA1195	gene589
RNA1197	gene590
RNA1198	gene591
RNA1199	gene592
RNA1200	gene593
RNA1202	gene595
RNA1203	gene596
RNA1204	gene597
RNA1205	gene597
RNA1206	gene598
RNA1210	gene599
RNA1211	gene599
RNA1212	gene599
RNA1213	gene600
RNA1214	gene600
RNA1215	gene601
RNA1216	gene601
RNA1217	gene601
RNA1218	gene601
RNA1219	gene601
RNA1221	gene603
RNA1222	gene604
RNA1223	gene605
RNA1224	gene606
RNA1225	gene607
RNA1226	gene608
RNA1227	gene609
RNA1228	gene610
RNA1230	gene611
RNA1231	gene612
RNA1232	gene613
RNA1233	gene614
RNA1234	gene614
RNA1235	gene614
RNA1236	gene615
RNA1237	gene616
RNA1238	gene617
RNA1240	gene618
RNA1243	gene618
RNA1244	gene619
RNA1245	gene619
RNA1246	gene620
RNA1247	gene621
RNA1248	gene622
RNA1250	gene623
RNA1251	gene624
RNA1252	gene625
RNA1253	gene626
RNA1258	gene626
RNA1259	gene626
RNA1260	gene626
RNA1261	gene627
RNA1262	gene628
RNA1263	gene629
RNA1264	gene629
RNA1266	gene630
RNA1267	gene630
RNA1268	gene631
RNA1269	gene632
RNA1270	gene633
RNA1271	gene634
RNA1272	gene634
RNA1273	gene635
RNA1274	gene636
RNA1275	gene636
RNA1276	gene637
RNA1277	gene637
RNA1278	gene638
RNA1279	gene638
RNA1280	gene639
RNA1281	gene639
RNA1282	gene640
RNA1283	gene641
RNA1285	gene643
RNA1288	gene643
RNA1289	gene643
RNA1290	gene643
RNA1291	gene643
RNA1292	gene643
RNA1293	gene643
RNA1294	gene643
RNA1295	gene643
RNA1296	gene643
RNA1297	gene643
RNA1299	gene644
RNA1300	gene645
RNA1301	gene646
RNA1302	gene647
RNA1303	gene648
RNA1310	gene650
RNA1304	gene649
RNA1305	gene649
RNA1306	gene649
RNA1308	gene649
RNA1312	gene652
RNA1313	gene653
RNA1314	gene653
RNA1315	gene653
RNA1316	gene653
RNA1317	gene654
RNA1318	gene655
RNA1319	gene656
RNA1320	gene657
RNA1322	gene658
RNA1323	gene658
RNA1324	gene658
RNA1325	gene659
RNA1326	gene659
RNA1329	gene660
RNA1330	gene660
RNA1331	gene660
RNA1332	gene661
RNA1333	gene662
RNA1334	gene663
RNA1335	gene663
RNA1336	gene663
RNA1337	gene663
RNA1339	gene663
RNA1340	gene664
RNA1342	gene665
RNA1343	gene665
RNA1344	gene666
RNA1345	gene667
RNA1346	gene668
RNA1347	gene669
RNA1348	gene669
RNA1351	gene672
RNA1352	gene673
RNA1353	gene673
RNA1355	gene674
RNA1356	gene674
RNA1357	gene674
RNA1358	gene674
RNA1359	gene674
RNA1360	gene674
RNA1361	gene674
RNA1362	gene674
RNA1363	gene674
RNA1366	gene676
RNA1367	gene676
RNA1368	gene677
RNA1369	gene678
RNA1370	gene678
RNA1371	gene679
RNA1372	gene679
RNA1373	gene680
RNA1374	gene681
RNA1375	gene681
RNA1376	gene681
RNA1377	gene682
RNA1378	gene683
RNA1379	gene684
RNA1380	gene685
RNA1381	gene686
RNA1382	gene687
RNA1383	gene688
RNA1384	gene688
RNA1385	gene688
RNA1386	gene689
RNA1387	gene690
RNA1388	gene691
RNA1389	gene692
RNA1390	gene693
RNA1391	gene694
RNA1392	gene694
RNA1393	gene695
RNA1394	gene696
RNA1395	gene697
RNA1396	gene698
RNA1397	gene699
RNA1398	gene699
RNA1401	gene701
RNA1402	gene701
RNA1404	gene701
RNA1409	gene701
RNA1410	gene702
RNA1411	gene703
RNA1412	gene704
RNA1413	gene705
RNA1415	gene707
RNA1416	gene707
RNA1417	gene708
RNA1421	gene709
RNA1430	gene712
RNA1431	gene713
RNA1432	gene714
RNA1433	gene715
RNA1435	gene716
RNA1436	gene716
RNA1437	gene717
RNA1438	gene717
RNA1441	gene717
RNA1442	gene717
RNA1443	gene717
RNA1444	gene717
RNA1447	gene717
RNA1449	gene717
RNA1450	gene718
RNA1451	gene719
RNA1453	gene720
RNA1455	gene721
RNA1456	gene721
RNA1457	gene722
RNA1459	gene724
RNA1460	gene724
RNA1464	gene726
RNA1466	gene728
RNA1467	gene729
RNA1469	gene731
RNA1470	gene731
RNA1471	gene732
RNA1473	gene732
RNA1474	gene732
RNA1476	gene732
RNA1477	gene732
RNA1479	gene732
RNA1480	gene732
RNA1481	gene732
RNA1482	gene733
RNA1483	gene734
RNA1484	gene735
RNA1485	gene735
RNA1486	gene735
RNA1487	gene735
RNA1488	gene735
RNA1489	gene735
RNA1490	gene735
RNA1492	gene736
RNA1495	gene737
RNA1496	gene737
RNA1497	gene738
RNA1500	gene740
RNA1501	gene740
RNA1502	gene740
RNA1504	gene740
RNA1505	gene740
RNA1506	gene740
RNA1507	gene741
RNA1508	gene741
RNA1509	gene742
RNA1510	gene742
RNA1511	gene742
RNA1513	gene743
RNA1514	gene744
RNA1515	gene745
RNA1516	gene746
RNA1517	gene747
RNA1518	gene748
RNA1519	gene748
RNA1520	gene748
RNA1521	gene748
RNA1523	gene750
RNA1524	gene751
RNA1525	gene752
RNA1522	gene749
RNA1527	gene753
RNA1528	gene754
RNA1529	gene755
RNA1530	gene756
RNA1531	gene757
RNA1532	gene757
RNA1533	gene758
RNA1534	gene759
RNA1535	gene759
RNA1536	gene759
RNA1537	gene760
RNA1538	gene760
RNA1539	gene760
RNA1541	gene762
RNA1544	gene763
RNA1546	gene764
RNA1548	gene765
RNA1549	gene766
RNA1550	gene767
RNA1551	gene767
RNA1553	gene768
RNA1557	gene768
RNA1562	gene770
RNA1563	gene771
RNA1564	gene771
RNA1565	gene771
RNA1566	gene772
RNA1569	gene773
RNA1570	gene773
RNA1576	gene774
RNA1578	gene775
RNA1579	gene775
RNA1581	gene776
RNA1582	gene777
RNA1583	gene778
RNA1584	gene778
RNA1585	gene779
RNA1586	gene780
RNA1587	gene781
RNA1588	gene782
RNA1589	gene783
RNA1590	gene784
RNA1591	gene784
RNA1592	gene784
RNA1593	gene784
RNA1594	gene785
RNA1595	gene786
RNA1598	gene786
RNA1599	gene787
RNA1600	gene788
RNA1601	gene788
RNA1603	gene789
RNA1605	gene791
RNA1606	gene791
RNA1607	gene792
RNA1604	gene790
RNA1608	gene793
RNA1609	gene794
RNA1610	gene795
RNA1611	gene796
RNA1614	gene797
RNA1618	gene799
RNA1615	gene798
RNA1619	gene800
RNA1620	gene801
RNA1621	gene801
RNA1622	gene802
RNA1623	gene803
RNA1625	gene803
RNA1626	gene804
RNA1628	gene806
RNA1629	gene807
RNA1631	gene808
RNA1632	gene808
RNA1633	gene809
RNA1634	gene810
RNA1635	gene811
RNA1636	gene812
RNA1637	gene813
RNA1638	gene814
RNA1641	gene814
RNA1642	gene815
RNA1643	gene816
RNA1644	gene817
RNA1645	gene818
RNA1646	gene819
RNA1647	gene820
RNA1649	gene822
RNA1651	gene823
RNA1652	gene824
RNA1653	gene824
RNA1654	gene824
RNA1655	gene824
RNA1656	gene824
RNA1657	gene824
RNA1658	gene824
RNA1659	gene824
RNA1660	gene825
RNA1662	gene827
RNA1663	gene828
RNA1665	gene829
RNA1673	gene831
RNA1667	gene830
RNA1675	gene833
RNA1676	gene834
RNA1677	gene834
RNA1678	gene835
RNA1679	gene835
RNA1681	gene836
RNA1682	gene836
RNA1683	gene837
RNA1684	gene837
RNA1685	gene837
RNA1691	gene839
RNA1692	gene840
RNA1698	gene841
RNA1700	gene842
RNA1701	gene843
RNA1703	gene844
RNA1704	gene844
RNA1708	gene844
RNA1710	gene845
RNA1711	gene846
RNA1712	gene846
RNA1713	gene847
RNA1714	gene847
RNA1715	gene847
RNA1716	gene847
RNA1717	gene848
RNA1718	gene848
RNA1719	gene849
RNA1721	gene850
RNA1722	gene851
RNA1723	gene852
RNA1724	gene853
RNA1725	gene854
RNA1726	gene855
RNA1728	gene855
RNA1730	gene855
RNA1731	gene855
RNA1732	gene855
RNA1733	gene855
RNA1734	gene855
RNA1736	gene856
RNA1737	gene857
RNA1738	gene858
RNA1740	gene860
RNA1741	gene861
RNA1742	gene861
RNA1743	gene861
RNA1744	gene861
RNA1745	gene861
RNA1746	gene861
RNA1747	gene861
RNA1748	gene861
RNA1749	gene862
RNA1751	gene863
RNA1753	gene863
RNA1754	gene864
RNA1759	gene867
RNA1763	gene868
RNA1764	gene869
RNA1765	gene870
